epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4127,0.23773,2.17123,1.00043,0.70857,0.6026,0.63752,0.60362,0.29753,1.28074,0.38492,0.000331224,0.000331224,0.000331224
2,40.6615,0.15152,1.38082,0.91294,0.75209,0.51011,0.65448,0.64048,0.25568,1.34352,0.33081,0.000651399,0.000651399,0.000651399
3,59.597,0.14599,1.15261,0.90856,0.54978,0.66913,0.69346,0.68369,0.26711,1.28522,0.35749,0.000958374,0.000958374,0.000958374
4,78.3366,0.13968,1.05847,0.90377,0.71807,0.73229,0.78569,0.77952,0.16239,0.92384,0.22815,0.0009406,0.0009406,0.0009406
5,96.5388,0.12846,0.9812,0.89522,0.68497,0.74649,0.792,0.79007,0.15426,0.91556,0.20921,0.0009208,0.0009208,0.0009208
6,114.685,0.12033,0.91146,0.88984,0.73635,0.75268,0.83342,0.80047,0.30759,0.88596,0.38594,0.000901,0.000901,0.000901
7,132.83,0.10903,0.85764,0.88671,0.60705,0.74927,0.78839,0.77824,0.1881,1.09084,0.2466,0.0008812,0.0008812,0.0008812
8,150.952,0.10463,0.82265,0.89162,0.64132,0.72817,0.8017,0.79639,0.20922,1.18035,0.25858,0.0008614,0.0008614,0.0008614
9,169.138,0.10232,0.76445,0.89028,0.79437,0.80036,0.88025,0.86774,0.2048,0.72808,0.27322,0.0008416,0.0008416,0.0008416
10,187.234,0.09472,0.74263,0.88622,0.83612,0.89685,0.9412,0.93911,0.18557,0.50804,0.24086,0.0008218,0.0008218,0.0008218
11,205.472,0.09101,0.71368,0.88164,0.8411,0.83174,0.9138,0.90363,0.1634,0.58866,0.20286,0.000802,0.000802,0.000802
12,223.476,0.08918,0.67349,0.88716,0.86565,0.87461,0.94985,0.93503,0.21268,0.53521,0.26125,0.0007822,0.0007822,0.0007822
13,241.471,0.0856,0.65802,0.88136,0.86726,0.88582,0.95,0.94983,0.11816,0.49118,0.16485,0.0007624,0.0007624,0.0007624
14,259.521,0.08511,0.64254,0.88478,0.87582,0.85906,0.95266,0.95047,0.15496,0.51317,0.2092,0.0007426,0.0007426,0.0007426
15,277.635,0.0816,0.6192,0.879,0.92835,0.92661,0.97293,0.97095,0.14663,0.37791,0.19678,0.0007228,0.0007228,0.0007228
16,295.698,0.07685,0.61499,0.87572,0.89775,0.8919,0.96751,0.96516,0.13943,0.42693,0.18825,0.000703,0.000703,0.000703
17,313.918,0.07487,0.57986,0.87989,0.89067,0.92593,0.96887,0.96872,0.09916,0.36768,0.14337,0.0006832,0.0006832,0.0006832
18,331.834,0.07483,0.56719,0.87949,0.91142,0.91922,0.97394,0.97258,0.11977,0.3953,0.16804,0.0006634,0.0006634,0.0006634
19,349.905,0.07127,0.54968,0.8804,0.90346,0.89273,0.96994,0.96856,0.12419,0.45832,0.17983,0.0006436,0.0006436,0.0006436
20,367.869,0.07162,0.54944,0.87868,0.90732,0.88348,0.97855,0.97849,0.09289,0.41684,0.13608,0.0006238,0.0006238,0.0006238
21,385.895,0.06777,0.5227,0.87862,0.87971,0.91642,0.96858,0.96672,0.11485,0.43266,0.16476,0.000604,0.000604,0.000604
22,403.902,0.06944,0.51311,0.88489,0.90926,0.9283,0.98032,0.97388,0.12232,0.38639,0.16502,0.0005842,0.0005842,0.0005842
23,421.983,0.06357,0.50869,0.8764,0.93917,0.92904,0.97795,0.97609,0.15279,0.37973,0.21359,0.0005644,0.0005644,0.0005644
24,439.959,0.06476,0.50604,0.88073,0.73588,0.8249,0.92208,0.91865,0.14864,0.81824,0.18768,0.0005446,0.0005446,0.0005446
25,458.059,0.06279,0.48435,0.87583,0.9462,0.95463,0.98706,0.98684,0.1813,0.39509,0.22186,0.0005248,0.0005248,0.0005248
26,476.033,0.06206,0.48119,0.87838,0.95772,0.93409,0.98496,0.98496,0.09001,0.29999,0.13332,0.000505,0.000505,0.000505
27,494.114,0.06244,0.46166,0.87935,0.95385,0.95231,0.98864,0.98858,0.11851,0.31702,0.17081,0.0004852,0.0004852,0.0004852
28,512.128,0.06065,0.46364,0.87477,0.96385,0.95446,0.98865,0.98865,0.12509,0.3238,0.16945,0.0004654,0.0004654,0.0004654
29,530.14,0.05866,0.45109,0.87582,0.82337,0.87595,0.96531,0.96477,0.15141,0.66991,0.17673,0.0004456,0.0004456,0.0004456
30,548.249,0.05597,0.43692,0.87355,0.97432,0.96777,0.99139,0.99133,0.11048,0.27744,0.15425,0.0004258,0.0004258,0.0004258
31,566.312,0.05639,0.42315,0.87774,0.98032,0.9817,0.99406,0.99381,0.10938,0.24427,0.14569,0.000406,0.000406,0.000406
32,584.384,0.05356,0.42132,0.8744,0.94981,0.9507,0.98885,0.98813,0.11321,0.32608,0.14983,0.0003862,0.0003862,0.0003862
33,602.512,0.05104,0.41085,0.86969,0.97992,0.97646,0.99383,0.99371,0.14364,0.2589,0.19763,0.0003664,0.0003664,0.0003664
34,620.627,0.05074,0.40262,0.87072,0.97593,0.96403,0.99152,0.99146,0.14304,0.27007,0.19294,0.0003466,0.0003466,0.0003466
35,638.716,0.04675,0.38715,0.872,0.98703,0.98161,0.99409,0.99396,0.1165,0.23935,0.16538,0.0003268,0.0003268,0.0003268
36,656.823,0.04713,0.38167,0.87024,0.98457,0.99015,0.99451,0.99446,0.10894,0.26748,0.14454,0.000307,0.000307,0.000307
37,674.956,0.04771,0.38386,0.87038,0.98358,0.97666,0.99424,0.99423,0.09111,0.21884,0.12217,0.0002872,0.0002872,0.0002872
38,693.021,0.04583,0.35701,0.87472,0.99109,0.98589,0.99442,0.99439,0.12535,0.21446,0.17102,0.0002674,0.0002674,0.0002674
39,711.126,0.04577,0.36658,0.87409,0.99129,0.99038,0.99448,0.99432,0.11025,0.24172,0.14583,0.0002476,0.0002476,0.0002476
